Compound,ID,NormInt,Sample.Type,Method,full_name,Class
alpha-AAA,sGF4,0.486787204,sGF,LC,alpha-Aminoadipic acid,Amino acid related
alpha-AAA,sGF5,0.439325114,sGF,LC,alpha-Aminoadipic acid,Amino acid related
Anserine,exGF10,0.619222267,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF16,0.544026422,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF11,0.940244086,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF17,0.627470086,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF12,0.419735394,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF18,0.444974908,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF07,0.420995003,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF13,0.429743158,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF19,0.631433572,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF09,0.71247412,exGF,LC,L-Anserine,Amino acid related
Anserine,exGF14,0.537985483,exGF,LC,L-Anserine,Amino acid related
Anserine,GF07,0.744747834,GF,LC,L-Anserine,Amino acid related
Anserine,GF16,0.413765157,GF,LC,L-Anserine,Amino acid related
Anserine,GF21,0.688258775,GF,LC,L-Anserine,Amino acid related
Anserine,GF08,0.847562906,GF,LC,L-Anserine,Amino acid related
Anserine,GF17,0.590234279,GF,LC,L-Anserine,Amino acid related
Anserine,GF22,0.694731731,GF,LC,L-Anserine,Amino acid related
Anserine,GF10,0.689951611,GF,LC,L-Anserine,Amino acid related
Anserine,GF19,0.42166295,GF,LC,L-Anserine,Amino acid related
Anserine,GF15,0.428342631,GF,LC,L-Anserine,Amino acid related
Anserine,GF20,0.8290862,GF,LC,L-Anserine,Amino acid related
Anserine,sexGF1,0.592850915,sexGF,LC,L-Anserine,Amino acid related
Anserine,sexGF2,0.471760797,sexGF,LC,L-Anserine,Amino acid related
Anserine,sexGF3,0.406835086,sexGF,LC,L-Anserine,Amino acid related
Anserine,sexGF4,0.521626731,sexGF,LC,L-Anserine,Amino acid related
Anserine,sexGF5,0.600115197,sexGF,LC,L-Anserine,Amino acid related
Anserine,sGF1,0.663365079,sGF,LC,L-Anserine,Amino acid related
Anserine,sGF2,0.808223657,sGF,LC,L-Anserine,Amino acid related
Anserine,sGF3,1.049669466,sGF,LC,L-Anserine,Amino acid related
Anserine,sGF4,0.89103485,sGF,LC,L-Anserine,Amino acid related
Anserine,sGF5,0.892930362,sGF,LC,L-Anserine,Amino acid related
Arg,exGF10,4.966524299,exGF,LC,Arginine,Amino acids
Arg,exGF16,3.918219332,exGF,LC,Arginine,Amino acids
Arg,exGF11,4.722874283,exGF,LC,Arginine,Amino acids
Arg,exGF17,4.155879968,exGF,LC,Arginine,Amino acids
Arg,exGF12,2.837987143,exGF,LC,Arginine,Amino acids
Arg,exGF18,3.406877452,exGF,LC,Arginine,Amino acids
Arg,exGF07,5.135206532,exGF,LC,Arginine,Amino acids
Arg,exGF13,3.60945471,exGF,LC,Arginine,Amino acids
Arg,exGF19,4.616839101,exGF,LC,Arginine,Amino acids
Arg,exGF09,4.667704626,exGF,LC,Arginine,Amino acids
Arg,exGF14,5.159193694,exGF,LC,Arginine,Amino acids
Arg,GF07,4.119426752,GF,LC,Arginine,Amino acids
Arg,GF16,3.628879712,GF,LC,Arginine,Amino acids
Arg,GF21,4.723810713,GF,LC,Arginine,Amino acids
Arg,GF08,5.059379458,GF,LC,Arginine,Amino acids
Arg,GF17,4.397005348,GF,LC,Arginine,Amino acids
Arg,GF22,3.65695927,GF,LC,Arginine,Amino acids
Arg,GF10,4.65947659,GF,LC,Arginine,Amino acids
Arg,GF19,1.249783675,GF,LC,Arginine,Amino acids
Arg,GF15,4.17943755,GF,LC,Arginine,Amino acids
Arg,GF20,3.577531646,GF,LC,Arginine,Amino acids
Arg,sexGF1,2.631299735,sexGF,LC,Arginine,Amino acids
Arg,sexGF2,2.977600543,sexGF,LC,Arginine,Amino acids
Arg,sexGF3,2.733844606,sexGF,LC,Arginine,Amino acids
Arg,sexGF4,2.857452484,sexGF,LC,Arginine,Amino acids
Arg,sexGF5,2.086603518,sexGF,LC,Arginine,Amino acids
Arg,sGF1,3.563440492,sGF,LC,Arginine,Amino acids
Arg,sGF2,3.946533203,sGF,LC,Arginine,Amino acids
Arg,sGF3,4.408030861,sGF,LC,Arginine,Amino acids
Arg,sGF4,4.323641511,sGF,LC,Arginine,Amino acids
Arg,sGF5,4.231439178,sGF,LC,Arginine,Amino acids
Asn,exGF10,0.896737589,exGF,LC,Asparagine,Amino acids
Asn,exGF16,0.777304876,exGF,LC,Asparagine,Amino acids
Asn,exGF11,0.993549236,exGF,LC,Asparagine,Amino acids
Asn,exGF17,0.981547145,exGF,LC,Asparagine,Amino acids
Asn,exGF12,1.079594162,exGF,LC,Asparagine,Amino acids
Asn,exGF18,1.080927865,exGF,LC,Asparagine,Amino acids
Asn,exGF07,0.844687111,exGF,LC,Asparagine,Amino acids
Asn,exGF13,0.835881029,exGF,LC,Asparagine,Amino acids
Asn,exGF19,1.216154585,exGF,LC,Asparagine,Amino acids
Asn,exGF09,0.852610153,exGF,LC,Asparagine,Amino acids
Asn,exGF14,1.107228215,exGF,LC,Asparagine,Amino acids
Asn,GF07,0.628115016,GF,LC,Asparagine,Amino acids
Asn,GF16,2.131879955,GF,LC,Asparagine,Amino acids
Asn,GF21,1.00533457,GF,LC,Asparagine,Amino acids
Asn,GF08,0.645967042,GF,LC,Asparagine,Amino acids
Asn,GF17,1.485555221,GF,LC,Asparagine,Amino acids
Asn,GF22,0.754701095,GF,LC,Asparagine,Amino acids
Asn,GF10,0.691834993,GF,LC,Asparagine,Amino acids
Asn,GF19,0.729373824,GF,LC,Asparagine,Amino acids
Asn,GF15,1.070470359,GF,LC,Asparagine,Amino acids
Asn,GF20,0.787396122,GF,LC,Asparagine,Amino acids
Asn,sexGF1,0.726949667,sexGF,LC,Asparagine,Amino acids
Asn,sexGF2,0.881297181,sexGF,LC,Asparagine,Amino acids
Asn,sexGF3,0.570314601,sexGF,LC,Asparagine,Amino acids
Asn,sexGF4,0.722280087,sexGF,LC,Asparagine,Amino acids
Asn,sexGF5,0.688971332,sexGF,LC,Asparagine,Amino acids
Asn,sGF1,0.906911502,sGF,LC,Asparagine,Amino acids
Asn,sGF2,0.920239344,sGF,LC,Asparagine,Amino acids
Asn,sGF3,1.161100509,sGF,LC,Asparagine,Amino acids
Asn,sGF4,1.164134466,sGF,LC,Asparagine,Amino acids
Asn,sGF5,1.093678033,sGF,LC,Asparagine,Amino acids
Asp,exGF10,0.217328425,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF16,0.242242242,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF11,0.268923077,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF17,0.298502807,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF12,0.245800086,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF18,0.21201771,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF07,0.157312078,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF13,0.210311903,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF19,0.340704225,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF09,0.212487579,exGF,LC,Aspartic Acid,Amino acids
Asp,exGF14,0.298170816,exGF,LC,Aspartic Acid,Amino acids
Asp,GF07,0.305006812,GF,LC,Aspartic Acid,Amino acids
Asp,GF16,0.268050821,GF,LC,Aspartic Acid,Amino acids
